1	South Hong Kong	Hong Kong FootBall League	Autumn
1	South Hong Kong	Hong Kong FootBall League	Autumn
1	South Hong Kong	China People League	Spring
2	Dai Lin	China People League	Spring
4	Men United	England Super League	Summer
4	Men United	England Winter League	Winter
5	Old Castle	England Super League	Summer
5	Old Castle	England Winter League	Winter
6	AD Millan	Italy League	Spring
7	Tokyo Sakura	J-League	Autumn
8	Osaka Hana	J-League	Spring
9	Curtis-Wsagor	Brazil Summer League	Summer
10	Royal Madirid	Spain A Class League	Autumn
11	Byan Muni	Germany First Class League	Summer
12	Chicago Cow	USA National League	Spring
